Epoch	block0_Baseline	block0_LCM	block1_Baseline	block1_LCM	block2_Baseline	block2_LCM	block3_Baseline	block3_LCM	block4_Baseline	block4_LCM	block5_Baseline	block5_LCM	block6_Baseline	block6_LCM	block7_Baseline	block7_LCM	block8_Baseline	block8_LCM	block9_Baseline	block9_LCM	block10_Baseline	block10_LCM	block11_Baseline	block11_LCM
54	1635.11	1203.45	1533.74	1189.03	1417.36	1126.42	1205.61	1018.74	975.16	877.59	730.55	708.39	464.41	479.18	255.74	294.19	160.49	232.69	135.71	256.31	129.49	322.49	190.38	287.74
55	1635.03	1203.80	1533.33	1192.26	1416.70	1129.51	1204.85	1020.55	974.58	878.16	729.98	707.02	463.62	479.14	254.87	293.20	159.87	232.48	135.32	256.44	128.82	322.12	189.88	290.95
56	1634.10	1208.27	1532.92	1195.73	1416.50	1133.48	1204.92	1022.35	974.49	879.66	729.86	709.09	463.71	479.41	255.27	293.52	159.87	232.49	135.04	255.68	128.82	322.50	190.07	293.60
57	1633.65	1212.14	1531.83	1198.83	1415.16	1136.84	1203.54	1024.13	972.86	881.16	728.29	709.55	462.69	477.29	254.50	292.81	159.48	230.25	135.00	253.87	128.26	318.35	189.54	295.41
58	1634.32	1217.54	1533.00	1200.79	1416.69	1138.09	1205.17	1028.07	974.81	884.03	730.07	711.54	463.77	477.76	254.97	292.73	159.46	231.19	134.87	253.33	128.70	320.99	189.86	299.13
59	1634.81	1220.31	1533.14	1203.58	1416.43	1139.65	1204.80	1030.15	974.35	885.32	729.71	711.35	463.68	478.09	254.96	293.01	159.55	230.16	134.96	253.73	128.64	319.21	189.68	301.69
60	1635.75	1219.79	1534.22	1208.83	1417.42	1144.65	1205.66	1031.35	975.14	887.01	730.29	713.35	464.06	480.71	255.41	294.67	160.03	230.39	135.16	254.05	128.84	316.94	189.90	302.93
61	1635.11	1226.02	1533.19	1212.56	1416.50	1149.03	1204.73	1034.29	974.50	888.39	729.72	712.44	463.79	481.17	254.97	294.15	159.62	230.66	135.00	253.55	128.59	323.11	189.55	306.75
62	1635.48	1229.96	1533.36	1215.59	1416.68	1150.88	1204.84	1037.56	974.52	890.13	729.94	712.21	463.85	481.26	255.32	294.40	159.94	231.60	135.21	253.47	128.96	319.47	190.25	309.55
63	1635.26	1231.69	1533.54	1218.46	1416.96	1154.92	1204.95	1040.33	974.35	889.88	729.82	714.84	463.82	481.48	255.14	294.44	159.74	230.11	135.35	251.32	129.14	320.36	190.11	311.60
64	1635.61	1233.15	1534.01	1222.29	1417.43	1156.64	1205.75	1040.64	975.38	892.91	730.68	717.12	464.56	482.89	255.73	295.45	160.06	230.52	134.99	251.62	128.48	321.53	189.56	313.80
65	1635.88	1239.84	1533.87	1225.28	1417.25	1158.83	1205.50	1043.67	975.02	895.59	730.38	715.52	464.17	481.72	255.41	293.84	159.96	230.99	135.38	252.10	128.80	322.74	189.82	317.37
66	1635.88	1243.88	1533.81	1228.76	1417.14	1162.95	1205.34	1046.30	974.98	895.73	730.35	716.66	464.27	482.49	255.64	294.65	160.24	229.13	135.44	250.06	129.17	324.54	190.33	320.58
67	1635.40	1238.69	1533.70	1232.77	1416.96	1162.97	1205.24	1048.29	974.95	895.68	730.31	716.87	463.92	482.14	255.29	295.55	160.06	229.70	135.32	252.75	129.16	320.50	190.42	321.70
68	1635.28	1247.17	1533.59	1234.93	1416.92	1166.32	1205.23	1050.97	975.01	897.44	730.45	719.50	464.24	483.32	255.44	295.43	160.09	229.71	135.58	251.80	129.31	318.29	190.41	323.59
69	1634.34	1257.31	1532.81	1237.98	1416.29	1169.39	1204.51	1051.91	974.19	895.50	729.62	719.80	463.53	481.29	254.67	294.25	159.48	228.56	134.90	250.98	128.66	321.09	189.52	326.69
70	1633.67	1257.47	1532.47	1240.97	1415.68	1170.92	1204.09	1054.24	973.99	899.41	729.58	719.90	463.28	481.43	254.71	293.69	159.65	230.11	135.28	251.14	129.26	321.67	190.29	328.88
71	1635.13	1259.21	1533.51	1242.18	1416.98	1172.20	1204.96	1057.46	974.51	901.66	729.90	719.66	463.98	481.16	255.36	294.88	160.08	229.62	135.53	251.38	129.33	322.69	190.17	330.24
72	1635.14	1263.26	1533.65	1239.75	1416.96	1170.13	1205.17	1056.64	974.66	902.79	729.92	719.95	464.06	480.51	255.49	294.08	160.24	228.67	135.51	250.55	129.37	320.22	190.29	332.33
73	1635.16	1268.80	1533.61	1248.56	1416.96	1176.08	1205.19	1055.77	974.65	901.19	730.12	721.51	463.82	481.23	255.14	295.24	159.78	229.76	135.22	252.86	129.12	320.18	190.31	333.91
74	1635.30	1272.71	1533.69	1251.44	1417.13	1178.80	1205.19	1059.75	974.91	904.39	730.29	720.84	464.03	481.39	255.09	294.65	159.62	230.94	134.81	252.12	128.43	322.59	189.29	335.82
75	1635.25	1275.27	1533.84	1253.62	1417.29	1183.04	1205.70	1062.67	975.51	905.46	730.81	722.68	464.44	483.20	255.62	294.78	160.22	228.69	135.22	249.60	129.28	322.76	190.24	336.97
76	1634.08	1278.84	1533.04	1256.20	1416.83	1183.83	1205.15	1063.24	974.74	907.35	730.12	722.79	463.93	481.64	255.33	295.36	159.97	231.80	135.33	252.40	129.35	323.62	190.35	339.77
77	1634.89	1280.14	1532.86	1259.21	1415.98	1184.51	1203.90	1065.22	973.82	906.41	729.27	722.40	463.43	481.18	254.95	295.62	159.81	230.67	135.05	251.62	129.02	321.37	190.03	340.67
78	1634.98	1281.84	1532.85	1260.22	1416.06	1186.15	1204.57	1066.50	974.39	908.79	729.84	720.92	463.78	480.11	255.26	296.00	159.90	229.87	135.19	250.20	129.19	314.57	190.24	341.64
79	1635.76	1286.59	1533.48	1263.14	1416.75	1189.79	1205.00	1066.20	974.71	911.15	730.04	723.73	463.90	483.06	255.40	295.03	159.99	230.49	135.35	250.40	129.12	312.24	190.23	343.60
80	1634.52	1289.12	1533.12	1266.33	1416.51	1192.30	1204.81	1069.46	974.40	911.96	729.77	723.42	463.74	482.55	255.32	296.54	160.27	231.20	135.66	251.11	129.17	319.38	190.21	345.71
81	1635.44	1287.84	1533.29	1266.30	1416.57	1192.39	1204.82	1071.29	974.66	913.58	730.14	722.36	464.17	483.72	255.45	297.18	160.29	231.92	135.75	252.22	129.70	320.22	190.81	347.29
82	1635.04	1287.21	1533.22	1268.22	1416.44	1196.21	1204.51	1072.23	974.21	915.17	729.85	725.91	463.99	484.34	255.30	295.32	160.20	229.04	135.68	249.64	129.17	316.70	189.99	349.40
83	1635.53	1290.91	1533.76	1271.78	1417.13	1199.85	1205.35	1073.26	974.89	914.23	730.31	726.73	464.14	482.71	255.57	294.43	160.17	229.03	135.59	250.40	129.64	314.09	190.72	351.16
84	1635.69	1295.77	1533.66	1274.90	1417.07	1201.54	1205.60	1075.40	975.21	917.02	730.52	727.97	464.42	485.15	255.56	295.36	160.06	230.85	135.22	250.91	129.21	320.54	190.29	352.90
85	1634.63	1299.42	1532.63	1275.78	1415.71	1201.87	1204.05	1077.58	973.75	916.64	729.41	727.60	463.42	482.99	255.12	295.64	159.72	229.90	134.83	250.05	128.35	312.01	189.54	353.63
86	1634.89	1299.70	1533.54	1277.14	1417.11	1202.25	1205.15	1075.72	974.67	914.33	729.85	727.16	463.55	482.97	254.83	294.88	159.54	230.20	135.02	250.26	128.80	313.90	189.90	354.06
87	1633.62	1299.84	1532.26	1280.48	1415.96	1205.73	1204.17	1074.82	973.95	916.44	729.29	727.90	463.17	483.18	254.93	295.38	160.01	231.72	135.52	251.34	129.38	319.49	190.51	356.14
88	1634.84	1303.11	1532.99	1282.84	1416.21	1209.40	1204.57	1080.37	974.54	918.75	729.96	726.92	464.04	485.34	255.42	296.22	160.13	232.37	135.43	250.82	129.09	319.04	190.16	358.31
89	1635.91	1308.77	1533.91	1284.69	1417.24	1210.56	1205.42	1082.70	975.07	917.20	730.40	730.39	464.21	484.05	255.52	295.63	160.15	231.34	135.55	249.89	129.24	310.29	190.31	358.07
90	1634.19	1306.91	1533.00	1286.79	1416.47	1215.35	1204.61	1084.29	974.40	920.31	729.69	729.19	463.86	484.27	255.30	295.52	160.00	229.81	135.26	248.76	128.94	308.69	190.10	358.03
91	1633.89	1309.24	1532.50	1283.31	1415.87	1214.39	1203.78	1083.77	973.74	921.58	729.43	729.55	463.41	483.94	254.94	296.25	159.90	230.36	135.00	250.47	129.13	314.41	190.52	360.40
92	1635.43	1313.28	1533.65	1289.57	1417.10	1217.57	1205.27	1087.12	974.70	922.69	729.95	730.21	463.95	483.79	255.20	296.15	160.02	230.06	135.34	246.37	128.84	315.48	189.81	362.38
93	1635.07	1315.48	1532.72	1291.01	1416.03	1218.33	1204.22	1086.82	974.06	923.23	729.51	729.55	463.66	483.47	255.45	295.91	160.17	229.38	135.24	248.80	129.32	311.62	190.61	361.65
94	1634.85	1320.83	1532.92	1294.63	1416.05	1219.80	1204.06	1089.13	973.55	924.46	729.02	729.63	463.41	484.36	255.15	294.97	160.10	230.79	135.59	250.02	128.96	311.71	189.89	363.09
95	1634.10	1320.06	1532.43	1295.89	1415.96	1221.96	1204.07	1090.86	973.64	925.76	728.98	731.04	463.25	481.13	254.65	294.43	159.77	230.63	135.10	249.23	128.72	311.48	189.65	363.79
96	1636.05	1313.77	1534.01	1297.10	1417.11	1221.29	1205.14	1090.06	974.78	926.44	730.22	731.09	464.27	484.77	255.64	295.02	160.23	229.98	135.69	249.14	129.38	310.87	190.43	366.70
97	1635.75	1320.31	1533.77	1298.62	1417.00	1223.80	1205.24	1092.55	974.87	927.49	730.03	728.92	464.20	486.47	255.30	294.81	160.07	230.73	135.27	248.84	129.14	312.75	190.07	367.23
98	1635.55	1322.34	1534.01	1300.72	1417.28	1227.11	1205.39	1095.05	974.95	928.16	730.16	731.22	463.87	486.17	255.30	294.63	159.96	229.98	135.43	249.13	129.20	311.37	190.27	367.08
99	1634.69	1321.50	1533.33	1300.96	1416.88	1229.90	1205.04	1096.34	974.87	927.49	730.31	732.96	464.21	485.14	255.51	293.70	160.33	228.32	135.80	246.59	129.47	314.24	190.52	368.17
